teff,logg,feh,A,lambda0,b,n,A_err,lambda0_err,b_err,n_err,EW_numeric,EW_analytic
5700,4.0,0.0,0.9996448645775916,4862.702564395245,0.7439824847626528,0.35183065167751576,0.06684678234325175,0.004672525790310729,0.1527876995951369,0.020295641620230665,4.047691299389746,7.346898358634076
5700,4.0,0.5,0.9999974561196779,4862.691283250414,0.688043541868363,0.31196666899772274,0.10426888625331893,0.005777799171468376,0.24383438783099004,0.027543073845986928,4.323915912430763,10.750744493395935
5700,4.5,-0.5,0.9999977804347997,4862.679138243146,0.6247476369537527,0.4105034179158736,0.04567983251630846,0.0037253101712349614,0.0767974895892785,0.015955447414481922,3.106339146521272,3.8722139804927878
5700,4.5,0.0,0.9984680460899766,4862.696757003956,0.6975326482106644,0.34784935246593174,0.06914839646065206,0.004616209054083822,0.1494837740032922,0.020494857791134313,3.937256468449398,7.157509975823103
5700,4.5,0.5,0.9996776036458157,4862.697011425348,0.6379232064975233,0.3091730606214047,0.10422575907378374,0.0055325078445233765,0.22725688668722402,0.02687576142533214,4.19312812104617,10.35176500650016
5700,5.0,-0.5,0.9920897809064815,4862.667446847503,0.6128372514349414,0.40624120760426474,0.04893970812716459,0.003872990589910524,0.0819735996989973,0.016951139009485926,3.078332173537562,3.874426329118458
5700,5.0,0.0,0.999014476272779,4862.685103695057,0.6449114437967579,0.3504931524740216,0.07322276011437034,0.004744556647121118,0.14494318251924038,0.021517312073438453,3.740875873292823,6.448760324385137
5700,5.0,0.5,0.9990287475537526,4862.5728445717095,0.6012609731605443,0.29931824934918205,0.1171083066800748,0.004165091298195596,0.24687979358601064,0.028782107473536597,4.189425944267718,11.239575549582748
6000,3.5,-0.5,0.9999999999923403,4862.690473845733,1.0563968541449136,0.41271649482854694,0.0324102868812368,0.003698635937843065,0.09304222199227409,0.012631899417846613,4.338212450682691,6.455921862125438
6000,3.5,0.0,0.9999897841503106,4862.690824481835,1.1874731633620121,0.37225208181399944,0.04895503615239622,0.004928087539872218,0.1724314344924255,0.017507744841229567,5.009042679698773,9.748721652782429
6000,3.5,0.5,0.9999999996474715,4862.632894134187,1.2068716653832066,0.3394865658560896,0.07382113165767233,0.004683912589599578,0.2855054367499895,0.023972792448844954,5.349890330902017,13.532012606280775
6000,4.0,-0.5,0.9999999912910532,4862.690535410368,0.871123068559354,0.42876840268538896,0.03185366424063262,0.003463084037971213,0.07279957014642575,0.012465075790881228,3.7047270264545027,4.834810044920226
6000,4.0,0.0,0.9999736127995537,4862.690905949792,1.0956716084289182,0.37129855305195747,0.047483558956415914,0.004553971698784434,0.15438210186759527,0.01661998377173748,4.799270226735362,9.06743983748894
6000,4.0,0.5,0.9999985070213582,4862.6680517113255,1.1084945495493748,0.3355874604199665,0.0714206743519915,0.005284476999524275,0.25595631472347924,0.02252271638750652,5.169601685437321,12.97019265892875
6000,4.5,-0.5,0.999994330668926,4862.713630446355,0.8790836467961934,0.43548017093760555,0.03108506331136351,0.0032718837625321834,0.07080157242023882,0.012401484889736082,3.657583429659591,4.699963668453222
6000,4.5,0.0,0.9999987546253205,4862.690936155255,0.9861702921567528,0.3864079864634262,0.046258469855084444,0.004509185072966245,0.13061233505056227,0.016503473389281296,4.378103835702607,7.231657099977687
6000,4.5,0.5,0.9999999981392276,4862.608957781494,1.0285732849069722,0.3286002206930935,0.07515698261541777,0.0039662432267945314,0.2538138437092142,0.02273543425220819,5.05420795590641,13.034791920441377
